Id;Designator;Package;Quantity;Designation;
1;MX14,MX62,MX94,MX75,MX85,MX49,MX27,MX74,MX16,MX20,MX33,MX48,MX31,MX91,MX11,MX22,MX51,MX54,MX43,MX30,MX65,MX35,MX79,MX102,MX25,MX82,MX18,MX68,MX77,MX46,MX26,MX19,MX36,MX42,MX83,MX38,MX29,MX34,MX100,MX64,MX28,MX57,MX32,MX5,MX12,MX50,MX97,MX21,MX53,MX44,MX24,MX66,MX37,MX52,MX93,MX96,MX92,MX71,MX70,MX103,MX56,MX88,MX40,MX99,MX87,MX59,MX58,MX13,MX98,MX15,MX63,MX104,MX76,MX47,MX101,MX55,MX41,MX69;MX-1U-NoLED;78;MX-NoLED;Ei
2;R_USB2,R_USB1;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;5k1;T
3;MX60,MX2,MX73,MX3,MX10,MX61,MX17,MX81;MX-1.25U-NoLED;8;MX-NoLED;Ei
5;MX72;MX-2.75U-NoLED;1;MX-NoLED;Ei
6;MX45;MX-7U-ReversedStabilizers-NoLED;1;MX-NoLED;Ei
7;MX84;MX-2.25U-ReversedStabilizers-NoLED;1;MX-NoLED;Ei
8;MX6,MX23,MX90,MX9,MX86,MX67;MX-1.5U-NoLED;6;MX-NoLED;Ei
9;MX95,MX4;MX-1U;2;MX-LED;Ei
10;MX89;MX-2U-NoLED;1;MX-NoLED;Ei
11;MX8;MX-2.25U-NoLED;1;MX-NoLED;Ei
12;J1;SW_SPST_TL3342;1;Reset Jumper;x
13;MX1;MX-1.25U;1;MX-LED;Ei
14;J4;PinHeader_2x03_P2.54mm_Vertical;1;ISP_Breakout;Ei
15;J2;PinHeader_1x03_P2.54mm_Vertical;1;CONN_RGB;Ei
16;MX39;MX-6.25U-ReversedStabilizers-NoLED;1;MX-NoLED;Ei
17;MX80;MX-ISO-ReversedStabilizers;1;MX-NoLED;Ei
18;MX7;MX-1.75U;1;MX-LED;Ei
19;MX78;MX-1.75U_NoLED;1;MX-NoLED;Ei
20;R_DATA1,R_DATA2;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;2;22;x
21;D29,D16,D35,D27,D1,D34,D3,D2,D4,D42,D25,D6,D32,D41,D23,D38,D11,D21,D10,D7,D33,D31,D5,D14,D40,D12,D30,D45,D26,D15,D44,D37,D8,D36,D28,D17,D20,D19,D43,D22,D39,D13,D9,D24;SOT-23;44;BAV70_Small;x
22;R_INDICATOR3,R_INDICATOR2,R_INDICATOR1;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;3;220;Ei
23;C_UCAP1;C_0402_1005Metric;1;1u;x
24;R_HWB1,R_RST1;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;2;10k;x
25;J3;JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal;1;CONN_DB;Ei
26;USB1;HRO-TYPE-C-31-M-12-Assembly;1;HRO-TYPE-C-31-M-12;x
27;D47,D46,D48,D79;D_SOD-123;4;D_Small;x
28;C_DECOUP4;C_0402_1005Metric;1;10u;x
29;C_DECOUP1,C_DECOUP3;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;2;.1u;x
30;D18;SOT-143;1;PRTR5V0U2X;x
31;F1;Fuse_0805_2012Metric;1;Polyfuse_Small;x
32;C_DECOUP2;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1;.1u;x
33;Y1;Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm;1;Resonator_Small;x
34;U1;QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm;1;ATmega32U4-M;x
